designed_diam,designed_diam_sd,designed_K,designed_ODI,n_substrates,achieved_avf_mean,achieved_avf_sd,achieved_diam_mean,achieved_diam_sd,achieved_global_ODI_mean,achieved_global_ODI_sd
1.68,0.45,200,0.0032,5,0.688,0.013038404810405255,2.053666666666667,0.737,0.00476,0.00040373258476372693
1.68,0.45,20,0.0318,3,0.68,0.0,2.0463333333333336,0.7293333333333334,0.0397,9.99999999999994e-05
1.68,0.45,10,0.0635,5,0.6740000000000002,0.021908902300206617,2.0435,0.7404999999999999,0.07483999999999999,0.005257661076942863
2.58,0.69,200,0.0032,5,0.688,0.00836660026534071,3.16725,1.127,0.00528,0.0006648308055437866
2.58,0.69,20,0.0318,3,0.6566666666666667,0.01527525231651948,3.1526666666666667,1.1480000000000001,0.03956666666666667,0.0018175074506954097
2.58,0.69,10,0.0635,5,0.6660000000000001,0.01341640786499875,3.1703333333333337,1.125,0.07496,0.0034753417098178996
3.5,0.9375,200,0.0032,3,0.6633333333333334,0.011547005383792525,4.309333333333334,1.537,0.0054333333333333326,0.001305118130030126
3.5,0.9375,20,0.0318,3,0.67,0.010000000000000009,4.362333333333333,1.5490000000000002,0.0395,0.0022649503305812234
3.5,0.9375,10,0.0635,5,0.656,0.025099800796022288,4.3345,1.56925,0.074,0.00457001094090594
4.5,1.205,200,0.0032,3,0.67,0.010000000000000009,5.600666666666666,1.9956666666666667,0.006033333333333332,0.0004932882862316248
4.5,1.205,20,0.0318,3,0.6666666666666666,0.01527525231651948,5.598333333333333,2.016,0.0386,0.0017058722109232
4.5,1.205,10,0.0635,5,0.642,0.013038404810405309,5.5555,1.9562499999999998,0.075,0.0036
