param_group,substrate,designed_diam,designed_diam_sd,designed_K,designed_ODI,designed_initVF,achieved_avf,achieved_diam_mean,achieved_diam_std,Kfit_global,achieved_global_ODI
bead0.5_d1.68_OD10_initVF0.41_500axons,2026-03-22_23-44_d1.68_K10_ODI_0.0635_bead_0.5_500fibers,1.68,0.45,10,0.0635,0.41,0.71,2.072,0.762,7.93,0.0799
bead0.5_d1.68_OD10_initVF0.41_500axons,2026-03-24_01-57_d1.68_K10_ODI_0.0635_bead_0.5_500fibers,1.68,0.45,10,0.0635,0.41,0.66,,,9.61,0.066
bead0.5_d1.68_OD10_initVF0.41_500axons,2026-03-27_12-05_d1.68_K10_ODI_0.0635_bead_0.5_500fibers,1.68,0.45,10,0.0635,0.41,0.68,2.057,0.743,8.21,0.0772
bead0.5_d1.68_OD10_initVF0.41_500axons,2026-03-28_02-48_d1.68_K10_ODI_0.0635_bead_0.5_500fibers,1.68,0.45,10,0.0635,0.41,0.66,2.012,0.725,8.43,0.0752
bead0.5_d1.68_OD10_initVF0.41_500axons,2026-03-28_19-04_d1.68_K10_ODI_0.0635_bead_0.5_500fibers,1.68,0.45,10,0.0635,0.41,0.66,2.033,0.732,8.35,0.0759
bead0.5_d1.68_OD200_initVF0.465_500axons,2026-03-22_23-44_d1.68_K200_ODI_0.0032_bead_0.5_500fibers,1.68,0.45,200,0.0032,0.465,0.69,2.035,0.724,131.86,0.0048
bead0.5_d1.68_OD200_initVF0.465_500axons,2026-03-23_11-26_d1.68_K200_ODI_0.0032_bead_0.5_500fibers,1.68,0.45,200,0.0032,0.465,0.7,2.067,0.754,147.68,0.0043
bead0.5_d1.68_OD200_initVF0.465_500axons,2026-03-23_20-10_d1.68_K200_ODI_0.0032_bead_0.5_500fibers,1.68,0.45,200,0.0032,0.465,0.7,,,125.12,0.0051
bead0.5_d1.68_OD200_initVF0.465_500axons,2026-03-24_01-57_d1.68_K200_ODI_0.0032_bead_0.5_500fibers,1.68,0.45,200,0.0032,0.465,0.68,2.059,0.733,123.56,0.0052
bead0.5_d1.68_OD200_initVF0.465_500axons,2026-03-24_10-24_d1.68_K200_ODI_0.0032_bead_0.5_500fibers,1.68,0.45,200,0.0032,0.465,0.67,,,143.59,0.0044
bead0.5_d1.68_OD20_initVF0.435_500axons,2026-03-22_23-44_d1.68_K20_ODI_0.0318_bead_0.5_500fibers,1.68,0.45,20,0.0318,0.435,0.68,2.047,0.732,16.04,0.0396
bead0.5_d1.68_OD20_initVF0.435_500axons,2026-03-23_13-57_d1.68_K20_ODI_0.0318_bead_0.5_500fibers,1.68,0.45,20,0.0318,0.435,0.68,2.012,0.723,15.96,0.0398
bead0.5_d1.68_OD20_initVF0.435_500axons,2026-03-24_02-30_d1.68_K20_ODI_0.0318_bead_0.5_500fibers,1.68,0.45,20,0.0318,0.435,0.68,2.08,0.733,16.03,0.0397
bead0.5_d2.58_OD10_initVF0.365_500axons,2026-03-22_23-44_d2.58_K10_ODI_0.0635_bead_0.5_500fibers,2.58,0.69,10,0.0635,0.365,0.65,3.154,1.127,9.0,0.0705
bead0.5_d2.58_OD10_initVF0.365_500axons,2026-03-23_17-24_d2.58_K10_ODI_0.0635_bead_0.5_500fibers,2.58,0.69,10,0.0635,0.365,0.66,,,8.71,0.0728
bead0.5_d2.58_OD10_initVF0.365_500axons,2026-03-24_01-59_d2.58_K10_ODI_0.0635_bead_0.5_500fibers,2.58,0.69,10,0.0635,0.365,0.68,,,8.09,0.0783
bead0.5_d2.58_OD10_initVF0.365_500axons,2026-03-29_15-18_d2.58_K10_ODI_0.0635_bead_0.5_500fibers,2.58,0.69,10,0.0635,0.365,0.66,3.124,1.11,8.49,0.0747
bead0.5_d2.58_OD10_initVF0.365_500axons,2026-03-30_03-46_d2.58_K10_ODI_0.0635_bead_0.5_500fibers,2.58,0.69,10,0.0635,0.365,0.68,3.233,1.138,8.07,0.0785
bead0.5_d2.58_OD200_initVF0.415_500axons,2026-03-22_23-44_d2.58_K200_ODI_0.0032_bead_0.5_500fibers,2.58,0.69,200,0.0032,0.415,0.69,3.167,1.149,120.16,0.0053
bead0.5_d2.58_OD200_initVF0.415_500axons,2026-03-23_10-49_d2.58_K200_ODI_0.0032_bead_0.5_500fibers,2.58,0.69,200,0.0032,0.415,0.7,,,130.4,0.0049
bead0.5_d2.58_OD200_initVF0.415_500axons,2026-03-29_23-19_d2.58_K200_ODI_0.0032_bead_0.5_500fibers,2.58,0.69,200,0.0032,0.415,0.68,3.167,1.112,124.68,0.0051
bead0.5_d2.58_OD200_initVF0.415_500axons,2026-03-30_05-59_d2.58_K200_ODI_0.0032_bead_0.5_500fibers,2.58,0.69,200,0.0032,0.415,0.69,3.182,1.132,98.73,0.0064
bead0.5_d2.58_OD200_initVF0.415_500axons,2026-03-30_13-36_d2.58_K200_ODI_0.0032_bead_0.5_500fibers,2.58,0.69,200,0.0032,0.415,0.68,3.153,1.115,136.49,0.0047
bead0.5_d2.58_OD20_initVF0.38_500axons,2026-03-22_23-44_d2.58_K20_ODI_0.0318_bead_0.5_500fibers,2.58,0.69,20,0.0318,0.38,0.66,3.154,1.161,15.29,0.0416
bead0.5_d2.58_OD20_initVF0.38_500axons,2026-03-23_14-46_d2.58_K20_ODI_0.0318_bead_0.5_500fibers,2.58,0.69,20,0.0318,0.38,0.67,3.12,1.114,16.29,0.039
bead0.5_d2.58_OD20_initVF0.38_500axons,2026-03-24_02-43_d2.58_K20_ODI_0.0318_bead_0.5_500fibers,2.58,0.69,20,0.0318,0.38,0.64,3.184,1.169,16.67,0.0381
bead0.5_d3.5_OD10_initVF0.335_500axons,2026-03-27_12-09_d3.5_K10_ODI_0.0635_bead_0.5_500fibers,3.5,0.9375,10,0.0635,0.335,0.64,4.356,1.531,8.11,0.0782
bead0.5_d3.5_OD10_initVF0.335_500axons,2026-03-28_02-39_d3.5_K10_ODI_0.0635_bead_0.5_500fibers,3.5,0.9375,10,0.0635,0.335,0.68,4.357,1.623,8.59,0.0738
bead0.5_d3.5_OD10_initVF0.335_500axons,2026-03-28_15-19_d3.5_K10_ODI_0.0635_bead_0.5_500fibers,3.5,0.9375,10,0.0635,0.335,0.67,4.335,1.548,8.11,0.0781
bead0.5_d3.5_OD10_initVF0.335_500axons,2026-03-30_16-07_d3.5_K10_ODI_0.0635_bead_0.5_500fibers,3.5,0.9375,10,0.0635,0.335,0.62,4.29,1.575,9.46,0.0671
bead0.5_d3.5_OD10_initVF0.335_500axons,2026-03-31_07-16_d3.5_K10_ODI_0.0635_bead_0.5_500fibers,3.5,0.9375,10,0.0635,0.335,0.67,,,8.71,0.0728
bead0.5_d3.5_OD200_initVF0.38_500axons,2026-03-22_23-44_d3.5_K200_ODI_0.0032_bead_0.5_500fibers,3.5,0.9375,200,0.0032,0.38,0.67,4.241,1.561,152.67,0.0042
bead0.5_d3.5_OD200_initVF0.38_500axons,2026-03-23_12-31_d3.5_K200_ODI_0.0032_bead_0.5_500fibers,3.5,0.9375,200,0.0032,0.38,0.67,4.314,1.504,119.53,0.0053
bead0.5_d3.5_OD200_initVF0.38_500axons,2026-03-23_21-30_d3.5_K200_ODI_0.0032_bead_0.5_500fibers,3.5,0.9375,200,0.0032,0.38,0.65,4.373,1.546,93.43,0.0068
bead0.5_d3.5_OD20_initVF0.36_500axons,2026-03-22_23-44_d3.5_K20_ODI_0.0318_bead_0.5_500fibers,3.5,0.9375,20,0.0318,0.36,0.68,4.414,1.606,15.3,0.0416
bead0.5_d3.5_OD20_initVF0.36_500axons,2026-03-23_14-51_d3.5_K20_ODI_0.0318_bead_0.5_500fibers,3.5,0.9375,20,0.0318,0.36,0.67,4.315,1.5,17.12,0.0371
bead0.5_d3.5_OD20_initVF0.36_500axons,2026-03-24_03-35_d3.5_K20_ODI_0.0318_bead_0.5_500fibers,3.5,0.9375,20,0.0318,0.36,0.66,4.358,1.541,15.99,0.0398
bead0.5_d4.5_OD10_initVF0.32_500axons,2026-03-22_23-44_d4.5_K10_ODI_0.0635_bead_0.5_500fibers,4.5,1.205,10,0.0635,0.32,0.65,5.507,1.935,8.32,0.0761
bead0.5_d4.5_OD10_initVF0.32_500axons,2026-03-24_05-09_d4.5_K10_ODI_0.0635_bead_0.5_500fibers,4.5,1.205,10,0.0635,0.32,0.66,,,8.96,0.0708
bead0.5_d4.5_OD10_initVF0.32_500axons,2026-03-27_12-03_d4.5_K10_ODI_0.0635_bead_0.5_500fibers,4.5,1.205,10,0.0635,0.32,0.64,5.576,1.967,8.19,0.0773
bead0.5_d4.5_OD10_initVF0.32_500axons,2026-03-28_03-32_d4.5_K10_ODI_0.0635_bead_0.5_500fibers,4.5,1.205,10,0.0635,0.32,0.63,5.553,1.98,8.01,0.0791
bead0.5_d4.5_OD10_initVF0.32_500axons,2026-03-28_19-36_d4.5_K10_ODI_0.0635_bead_0.5_500fibers,4.5,1.205,10,0.0635,0.32,0.63,5.586,1.943,8.84,0.0717
bead0.5_d4.5_OD200_initVF0.36_500axons,2026-03-22_23-44_d4.5_K200_ODI_0.0032_bead_0.5_500fibers,4.5,1.205,200,0.0032,0.36,0.67,5.563,1.951,109.19,0.0058
bead0.5_d4.5_OD200_initVF0.36_500axons,2026-03-23_10-40_d4.5_K200_ODI_0.0032_bead_0.5_500fibers,4.5,1.205,200,0.0032,0.36,0.68,5.678,2.017,112.54,0.0057
bead0.5_d4.5_OD200_initVF0.36_500axons,2026-03-23_20-35_d4.5_K200_ODI_0.0032_bead_0.5_500fibers,4.5,1.205,200,0.0032,0.36,0.66,5.561,2.019,96.12,0.0066
bead0.5_d4.5_OD20_initVF0.34_500axons,2026-03-22_23-44_d4.5_K20_ODI_0.0318_bead_0.5_500fibers,4.5,1.205,20,0.0318,0.34,0.65,5.552,2.026,16.67,0.0381
bead0.5_d4.5_OD20_initVF0.34_500axons,2026-03-23_14-25_d4.5_K20_ODI_0.0318_bead_0.5_500fibers,4.5,1.205,20,0.0318,0.34,0.68,5.6,1.953,17.07,0.0372
bead0.5_d4.5_OD20_initVF0.34_500axons,2026-03-24_03-19_d4.5_K20_ODI_0.0318_bead_0.5_500fibers,4.5,1.205,20,0.0318,0.34,0.67,5.643,2.069,15.71,0.0405
