kappa,diameter,odi,fi,fe,formula,run_dir,output_file
10,1.68,0.0635,0.74,0.26,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-09-12_17-22-10_d1.68_K10_ODI_0.0635_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K10_d1.68_2025-09-12_17-22-10_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.75,0.25,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-09-13_15-03-42_d1.68_K10_ODI_0.0635_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K10_d1.68_2025-09-13_15-03-42_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.74,0.26,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-09-14_16-26-52_d1.68_K10_ODI_0.0635_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K10_d1.68_2025-09-14_16-26-52_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.75,0.25,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-09-16_02-19-37_d1.68_K10_ODI_0.0635_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K10_d1.68_2025-09-16_02-19-37_d1.68_K10_ODI_0.0635_500fibers.pkl
20,1.68,0.0318,0.71,0.29000000000000004,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-09-12_12-22-50_d1.68_K20_ODI_0.0318_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K20_d1.68_2025-09-12_12-22-50_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.71,0.29000000000000004,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-09-13_05-47-20_d1.68_K20_ODI_0.0318_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K20_d1.68_2025-09-13_05-47-20_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.71,0.29000000000000004,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-09-15_09-40-23_d1.68_K20_ODI_0.0318_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K20_d1.68_2025-09-15_09-40-23_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.72,0.28,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-09-16_05-21-39_d1.68_K20_ODI_0.0318_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K20_d1.68_2025-09-16_05-21-39_d1.68_K20_ODI_0.0318_500fibers.pkl
200,1.68,0.0032,0.66,0.33999999999999997,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD200/2025-09-12_12-25-16_d1.68_K200_ODI_0.0032_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K200_d1.68_2025-09-12_12-25-16_d1.68_K200_ODI_0.0032_500fibers.pkl
200,1.68,0.0032,0.68,0.31999999999999995,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/data/experiment_d1.68_sig0.45_500axons_reproducibility_OD200/2025-09-13_04-58-12_d1.68_K200_ODI_0.0032_500fibers,/home/nguyt16@ds.vanderbilt.edu/nozomi/experiment/visualization/plots/Kperp_across_diameter/computed_Kperp_total/Kperp_total_K200_d1.68_2025-09-13_04-58-12_d1.68_K200_ODI_0.0032_500fibers.pkl
