kappa,diameter,odi,fi,fe,formula,run_dir,output_file
10,1.68,0.0635,0.33,0.6699999999999999,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-23_17-31-23_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-23_17-31-23_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.33,0.6699999999999999,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-25_23-24-54_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-25_23-24-54_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.33,0.6699999999999999,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-26_01-26-59_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-26_01-26-59_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.32,0.6799999999999999,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-26_07-10-12_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-26_07-10-12_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.31,0.69,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-26_12-16-07_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-26_12-16-07_d1.68_K10_ODI_0.0635_500fibers.pkl
10,1.68,0.0635,0.34,0.6599999999999999,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD10/2025-10-26_14-22-58_d1.68_K10_ODI_0.0635_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K10_d1.68_2025-10-26_14-22-58_d1.68_K10_ODI_0.0635_500fibers.pkl
20,1.68,0.0318,0.31,0.69,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-10-23_17-30-45_d1.68_K20_ODI_0.0318_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K20_d1.68_2025-10-23_17-30-45_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.31,0.69,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-10-25_02-21-08_d1.68_K20_ODI_0.0318_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K20_d1.68_2025-10-25_02-21-08_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.31,0.69,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-10-25_23-26-02_d1.68_K20_ODI_0.0318_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K20_d1.68_2025-10-25_23-26-02_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.3,0.7,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-10-26_01-34-32_d1.68_K20_ODI_0.0318_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K20_d1.68_2025-10-26_01-34-32_d1.68_K20_ODI_0.0318_500fibers.pkl
20,1.68,0.0318,0.31,0.69,Ktotal = (fi*Ki*Di^2 + fe*Ke*De^2)/Dtotal^2 + 3*(fi*Di^2 + fe*De^2)/Dtotal^2 - 3,nozomi/experiment/visualization/dataVF03/VF0.3_experiment_d1.68_sig0.45_500axons_reproducibility_OD20/2025-10-26_03-31-00_d1.68_K20_ODI_0.0318_500fibers,nozomi/experiment/visualization/plots/Kperp_across_diameter_VF03/computed_Kperp_total/Kperp_total_K20_d1.68_2025-10-26_03-31-00_d1.68_K20_ODI_0.0318_500fibers.pkl
